Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
HPX,4,4,0,2,2,0,1,1,0,0,0,0
GIL,4,1,2,2,0,1,1,0,0,1,0,0
LCG,4,2,1,2,1,0,1,0,0,1,0,0
HNG,4,1,2,1,0,0,1,0,0,1,0,0
PGS,4,3,1,2,2,0,0,0,0,0,0,0
BID,4,1,2,1,0,0,1,0,0,1,0,0
FOX,4,1,3,2,0,2,1,0,1,1,0,1
DDG,4,3,1,2,2,0,2,2,0,2,2,0
BMP,4,2,0,2,0,0,0,0,0,0,0,0
TDN,4,2,2,1,0,1,0,0,0,0,0,0
HAN,4,2,2,2,1,1,1,1,0,0,0,0
PLX,4,1,2,1,0,0,0,0,0,0,0,0
SCI,3,0,3,1,0,1,1,0,1,0,0,0
DCM,3,0,2,2,0,1,1,0,0,1,0,0
NLG,3,2,0,1,0,0,1,0,0,0,0,0
BMI,3,0,2,1,0,0,0,0,0,0,0,0
NT2,3,0,1,0,0,0,0,0,0,0,0,0
TDP,3,3,0,0,0,0,0,0,0,0,0,0
KDH,3,2,0,1,0,0,0,0,0,0,0,0
TDT,3,1,2,2,1,1,1,0,1,0,0,0
BAX,3,0,3,0,0,0,0,0,0,0,0,0
DPR,3,0,3,0,0,0,0,0,0,0,0,0
PWA,3,0,3,0,0,0,0,0,0,0,0,0
CRE,3,0,1,2,0,0,1,0,0,1,0,0
CAP,3,0,3,1,0,1,0,0,0,0,0,0
ROS,3,2,0,1,0,0,1,0,0,1,0,0
SJE,3,2,1,0,0,0,0,0,0,0,0,0
BDG,3,1,2,0,0,0,0,0,0,0,0,0
KVC,3,1,2,3,1,2,0,0,0,0,0,0
CSV,3,1,0,2,1,0,0,0,0,0,0,0
PDR,3,0,1,2,0,0,2,0,0,1,0,0
LHC,2,2,0,1,1,0,0,0,0,0,0,0
REE,2,1,0,1,0,0,1,0,0,0,0,0
DST,2,2,0,0,0,0,0,0,0,0,0,0
DPM,2,0,1,1,0,0,0,0,0,0,0,0
GMD,2,1,0,1,0,0,1,0,0,1,0,0
AAA,2,0,1,1,0,0,0,0,0,0,0,0
HDC,2,0,1,1,0,0,1,0,0,0,0,0
PVV,2,1,1,0,0,0,0,0,0,0,0,0
SZC,2,1,0,1,0,0,1,0,0,0,0,0
PGN,2,1,1,0,0,0,0,0,0,0,0,0
