Stock,Morning,Afternoon,Volume,Filtered
C4G,1388500,129800,1518300,False
CNG,26630,190,26820,False
VC9,20800,10800,31600,False
C69,229500,200,229700,False
CMX,51870,1980,53850,False
NDN,1065000,18500,1083500,False
CTI,55450,2150,57600,False
DPG,60320,310,60630,False
DQC,10480,5340,15820,False
DDG,102300,28000,130300,False
EVG,3730,920,4650,False
PXT,7080,260,7340,False
YEG,6970,5810,12780,False
SJS,60520,30640,91160,False
POM,13320,1330,14650,False
KLF,5101300,18700,5120000,False
SFG,2770,520,3290,False
GVR,49210,950,50160,False
PVB,329100,186400,515500,False
CVT,1900,470,2370,False
DPR,38390,13360,51750,False
TTF,297140,10590,307730,False
BID,254600,14600,269200,False
PXS,37280,410,37690,False
BSI,28580,470,29050,False
ANV,48230,1090,49320,False
NHH,15140,14740,29880,False
NRC,609400,124500,733900,False
INN,33700,26500,60200,False
KMR,10690,120,10810,False
EVE,4170,410,4580,False
L14,164900,120900,285800,False
PTB,34130,1170,35300,False
VTB,2660,560,3220,False
BIC,18920,210,19130,False
DRH,61560,830,62390,False
ITD,10560,9880,20440,False
SD9,172300,99700,272000,False
ABC,152800,71400,224200,False
NKG,599350,7590,606940,False
PLP,67490,350,67840,False
EVF,665700,116400,782100,False
VCI,157540,820,158360,False
TTB,51200,1980,53180,False
DRI,824600,274000,1098600,False
ITC,8830,1450,10280,False
LSS,14360,3550,17910,False
ILB,18430,1430,19860,False
PMG,120,40,160,False
PLC,921800,36600,958400,False
SHI,69500,45090,114590,False
PAS,986800,461500,1448300,False
PVL,62400,1800,64200,False
FIR,7650,7500,15150,False
VNM,310380,146180,456560,False
DSN,2520,1910,4430,False
FPT,357720,151520,509240,False
SRC,1350,0,1350,False
ACC,8820,2270,11090,False
TCH,912140,11120,923260,False
TCM,65710,17170,82880,False
MTA,113400,10400,123800,False
CLH,4700,1400,6100,False
D2D,47690,6790,54480,False
SKG,92630,1960,94590,False
ITQ,233300,186700,420000,False
HPX,39450,910,40360,False
HRC,1050,60,1110,False
HII,25720,5780,31500,False
PNJ,101820,8790,110610,False
HSG,1287650,12990,1300640,False
TCL,27860,27420,55280,False
SGR,3050,170,3220,False
TLD,87110,1450,88560,False
TMP,450,90,540,False
DHG,4970,1350,6320,False
FIT,11470,460,11930,False
BCM,31090,13600,44690,False
TYA,4020,3520,7540,False
G36,500300,6400,506700,False
GDT,2090,2000,4090,False
VIX,194220,130,194350,False
VJC,33990,9730,43720,False
TSC,101090,1850,102940,False
VGS,302500,25400,327900,False
VRE,315290,2810,318100,False
SMC,29970,20,29990,False
C32,35120,14020,49140,False
CET,5300,3100,8400,False
SAV,7020,7010,14030,False
SCI,23700,2200,25900,False
TGG,145850,125410,271260,False
HVH,32800,70,32870,False
ASM,47680,1190,48870,False
ADS,1710,300,2010,False
OIL,2920400,85800,3006200,False
TS4,2370,1360,3730,False
KSQ,29300,1000,30300,False
PGC,4720,450,5170,False
GKM,215100,155000,370100,False
BMI,76590,1980,78570,False
BVG,32600,20100,52700,False
IDI,199650,3380,203030,False
GEG,98750,3020,101770,False
NAF,16090,500,16590,False
OGC,62680,4410,67090,False
BCC,1170400,333400,1503800,False
BOT,12200,200,12400,False
NVL,465270,332290,797560,False
NT2,102310,96930,199240,False
BWE,50110,22860,72970,False
STB,4359520,145570,4505090,False
HAT,6500,0,6500,False
DVP,11660,8520,20180,False
CSM,10490,1880,12370,False
HLD,243500,5000,248500,False
APC,7280,1410,8690,False
CHP,5570,3530,9100,False
SLS,23000,6900,29900,False
FTM,34460,5450,39910,False
S99,216800,80800,297600,False
TDH,200860,6820,207680,False
DBT,650,380,1030,False
SAB,21270,7170,28440,False
DBC,299030,3340,302370,False
VSC,19660,15020,34680,False
MST,814400,50300,864700,False
EID,19800,16000,35800,False
LAS,273500,189400,462900,False
NTP,90200,55700,145900,False
KSB,145260,2780,148040,False
HAR,46570,570,47140,False
DHC,54940,34150,89090,False
HUT,10082500,151600,10234100,False
DC4,1850,60,1910,False
TDM,53970,46700,100670,False
CIG,70,10,80,False
APG,107830,5910,113740,False
VGC,57280,41100,98380,False
MQN,2100,900,3000,False
HAP,97370,3200,100570,False
HAG,1186610,37950,1224560,False
SVN,108900,16200,125100,False
BII,1005900,116800,1122700,False
GTN,341080,6990,348070,False
NSC,2530,1090,3620,False
LIX,10380,10130,20510,False
ITA,813040,18990,832030,False
FID,355900,2000,357900,False
SRA,557500,110400,667900,False
SPI,243700,34800,278500,False
DRL,490,110,600,False
TNI,195810,8080,203890,False
C47,38520,170,38690,False
SHN,34800,100,34900,False
DIG,275980,600,276580,False
SJF,121810,560,122370,False
HVN,148660,15090,163750,False
HT1,132790,125000,257790,False
HCM,527760,5310,533070,False
VRC,3110,330,3440,False
VPH,16700,320,17020,False
DAH,110780,14030,124810,False
DBD,4490,3430,7920,False
TDN,175100,135000,310100,False
MFS,100600,62100,162700,False
APS,589900,7600,597500,False
VPI,151070,30080,181150,False
MSR,1798900,52300,1851200,False
AGM,2450,1930,4380,False
IJC,14010,230,14240,False
BCG,63800,2580,66380,False
BAX,12000,11800,23800,False
NTC,107600,2300,109900,False
EIB,127090,83920,211010,False
KDH,146330,2860,149190,False
BCE,24600,590,25190,False
BVS,899300,2500,901800,False
IDJ,1001500,14800,1016300,False
NLG,164980,5410,170390,False
PGD,620,480,1100,False
VHM,308900,10860,319760,False
STG,1100,820,1920,False
HOM,86400,4100,90500,False
ELC,32650,1370,34020,False
HHP,402800,141400,544200,False
UDC,2500,200,2700,False
DCM,389540,2290,391830,False
HAI,325520,6630,332150,False
QNS,169500,160600,330100,False
STH,26500,2600,29100,False
SZC,168560,49360,217920,False
FCN,395050,2560,397610,False
VPS,8330,60,8390,False
VSH,11470,9300,20770,False
API,142600,5100,147700,False
CII,376140,7270,383410,False
TDC,86870,2530,89400,False
TDT,142400,600,143000,False
DCL,30380,26830,57210,False
MHC,34710,70,34780,False
WCS,3000,700,3700,False
CDO,303600,600,304200,False
MIG,45320,500,45820,False
HTI,7220,470,7690,False
APH,20140,100,20240,False
JVC,126070,12020,138090,False
DXP,360000,32600,392600,False
HNG,615120,23450,638570,False
DXG,844000,5110,849110,False
VIP,45950,270,46220,False
VIG,110300,13500,123800,False
DTD,144800,22500,167300,False
HAH,108430,660,109090,False
CRC,27190,680,27870,False
PET,158520,2490,161010,False
NBC,136500,125900,262400,False
BTT,1000,0,1000,False
KBC,91250,2570,93820,False
KHP,40490,9390,49880,False
PHP,18700,17100,35800,False
BVH,120210,5440,125650,False
NNC,9430,6140,15570,False
STK,5230,210,5440,False
FCM,6790,1110,7900,False
QBS,15820,140,15960,False
TIG,2438500,28700,2467200,False
VPG,72350,37710,110060,False
TIP,10860,110,10970,False
FTS,60400,1870,62270,False
THT,27300,26500,53800,False
DAG,61680,1960,63640,False
ASP,12210,9270,21480,False
ART,568600,9400,578000,False
ASG,1140,920,2060,False
HND,221600,189200,410800,False
VIS,490,30,520,False
FLC,2820360,21410,2841770,False
PDR,237840,38050,275890,False
NTL,95750,880,96630,False
LCG,418460,5680,424140,False
BMC,17400,80,17480,False
LM8,200,70,270,False
VHC,139300,32660,171960,False
GEX,759210,16760,775970,False
PXI,6360,150,6510,False
VPB,851950,18950,870900,False
PSH,11450,3560,15010,False
IDC,3502900,73000,3575900,False
KSH,2569600,1900,2571500,False
HAX,60990,11720,72710,False
HBC,702040,3580,705620,False
CSV,45820,33980,79800,False
CRE,140110,48160,188270,False
FMC,23790,1530,25320,False
MSN,293910,87770,381680,False
AST,5140,470,5610,False
DNM,53500,5200,58700,False
CKG,203190,142310,345500,False
SBT,208480,1580,210060,False
PHR,152170,870,153040,False
HTN,13340,1630,14970,False
DAT,80,20,100,False
THG,4530,2580,7110,False
AGG,159740,11620,171360,False
MPT,421700,11000,432700,False
AGP,8000,4800,12800,False
MPC,84900,70200,155100,False
QNC,20700,5700,26400,False
VHE,74100,4300,78400,False
BTD,16200,11200,27400,False
PHC,2900,190,3090,False
BTS,82800,19600,102400,False
KDC,90990,2920,93910,False
REE,79440,12350,91790,False
BTP,8940,3120,12060,False
IDV,29700,21200,50900,False
GIL,76100,1010,77110,False
NBB,460,60,520,False
PPC,58350,40820,99170,False
RIC,3900,2440,6340,False
NVT,1220,240,1460,False
PGN,77200,6300,83500,False
HCD,75750,33890,109640,False
VIC,110700,63590,174290,False
VDS,12320,270,12590,False
AGR,34000,4950,38950,False
CEO,4253300,458200,4711500,False
SCS,7170,6840,14010,False
HTM,88300,26300,114600,False
TDG,63740,11600,75340,False
CEN,15800,9800,25600,False
SCR,532740,11230,543970,False
SBV,5670,1620,7290,False
SAM,62540,1120,63660,False
TDP,21890,750,22640,False
DLG,687120,20050,707170,False
QCG,85740,1770,87510,False
DTA,2230,20,2250,False
CSC,11200,11000,22200,False
TPB,445410,13990,459400,False
NCT,8860,2230,11090,False
KOS,30080,3210,33290,False
GAB,280,20,300,False
CTP,82800,40500,123300,False
SSN,74900,3000,77900,False
VTO,18500,320,18820,False
MBB,1993350,42780,2036130,False
TCD,740,670,1410,False
TCR,3010,0,3010,False
SHS,6921500,48400,6969900,False
MCG,8970,2030,11000,False
HHS,444130,6680,450810,False
HDG,312060,760,312820,False
VOS,23940,830,24770,False
AMV,932800,436600,1369400,False
TVS,17850,440,18290,False
TV2,23750,290,24040,False
DST,267600,23000,290600,False
HDA,34300,33900,68200,False
GAS,126270,30720,156990,False
BSR,9582800,442800,10025600,False
ICT,10370,1350,11720,False
NSH,117500,8400,125900,False
LDG,603010,12890,615900,False
ROS,2902500,51810,2954310,False
PTL,1290,280,1570,False
PVS,14060400,2654400,16714800,False
LEC,60,30,90,False
PVD,989220,13000,1002220,False
IBC,20290,5760,26050,False
GMC,3340,1330,4670,False
TNT,11740,100,11840,False
ATB,16500,900,17400,False
SHE,7000,3100,10100,False
VCF,20,0,20,False
POW,925580,12120,937700,False
DPM,293600,23290,316890,False
VC3,104200,54900,159100,False
TLH,35550,0,35550,False
HSL,26990,1660,28650,False
SD2,12000,1400,13400,False
SHP,1300,650,1950,False
TNA,45190,610,45800,False
AAV,389000,28600,417600,False
VCS,619500,61000,680500,False
HHG,28500,300,28800,False
AAA,414450,3580,418030,False
LLM,200,0,200,False
KVC,720400,2500,722900,False
NHA,18830,860,19690,False
GMD,258480,7750,266230,False
LHC,14800,0,14800,False
LIG,543500,3900,547400,False
PVT,710980,9460,720440,False
LGL,5850,1030,6880,False
PVC,555600,209700,765300,False
BHN,320,290,610,False
PVV,678100,11800,689900,False
PLX,108050,51330,159380,False
TTZ,69400,17600,87000,False
VNS,1970,520,2490,False
CTR,849100,67700,916800,False
TTH,1448200,331100,1779300,False
PVG,132100,80000,212100,False
PXL,440600,74400,515000,False
LHG,48980,330,49310,False
BFC,35450,6290,41740,False
PAN,57810,1290,59100,False
TVT,110,40,150,False
CVN,251200,16500,267700,False
SSI,1791500,15270,1806770,False
CTF,4360,2910,7270,False
TVC,2011900,24200,2036100,False
VNG,7910,370,8280,False
ACM,439300,4400,443700,False
CMS,75100,4500,79600,False
MBS,937000,12600,949600,False
SD6,220300,700,221000,False
TCB,2534600,177510,2712110,False
DGW,48260,2170,50430,False
TCT,2410,1120,3530,False
SFI,2110,0,2110,False
SHB,24315400,514900,24830300,False
FRT,63540,3980,67520,False
AAS,1748100,49300,1797400,False
ACL,11660,1070,12730,False
VC7,13600,100,13700,False
TVB,25430,6230,31660,False
CTG,1296860,32880,1329740,False
RAL,3860,20,3880,False
PVP,978400,234900,1213300,False
HDC,118240,1910,120150,False
PWA,108400,60500,168900,False
VND,827140,145460,972600,False
DRC,310790,2570,313360,False
HID,64030,62840,126870,False
DHM,11780,9620,21400,False
MBG,1749100,34800,1783900,False
CMG,12680,900,13580,False
SD5,121900,0,121900,False
SDT,149200,3000,152200,False
CCL,94010,1290,95300,False
DGC,123300,33770,157070,False
HPG,4807010,186470,4993480,False
TCW,68700,68600,137300,False
SGN,3310,690,4000,False
HQC,1485460,18410,1503870,False
TNG,417300,11900,429200,False
SHA,16760,2730,19490,False
TN1,130,40,170,False
VCB,112640,7910,120550,False
MWG,178940,5390,184330,False
CTD,123640,36330,159970,False
VNE,30650,25170,55820,False
AMD,421800,3750,425550,False
CTS,40450,140,40590,False
HDB,433910,16980,450890,False
AMS,15400,13000,28400,False
PSD,93700,11400,105100,False
